Ref_Date,GEO,DWELCODE,FUELTYPE,CONSUMPTION,Vector,Coordinate,Value
2013,Canada,Double,Natural gas,Proportion of total energy (percent),v101904430,1.2.3.3,48.2
2015,Canada,Double,Natural gas,Proportion of total energy (percent),v101904430,1.2.3.3,49.3
2011,Canada,Double,Natural gas,Number of households,v101904431,1.2.3.4,269340
2013,Canada,Double,Natural gas,Number of households,v101904431,1.2.3.4,240919
2015,Canada,Double,Natural gas,Number of households,v101904431,1.2.3.4,322014
2011,Canada,Double,Heating oil,Gigajoules,v101904432,1.2.4.1,F
2013,Canada,Double,Heating oil,Gigajoules,v101904432,1.2.4.1,1056041
2015,Canada,Double,Heating oil,Gigajoules,v101904432,1.2.4.1,F
2011,Canada,Double,Heating oil,Gigajoules per household,v101904433,1.2.4.2,66.9
2013,Canada,Double,Heating oil,Gigajoules per household,v101904433,1.2.4.2,55
2015,Canada,Double,Heating oil,Gigajoules per household,v101904433,1.2.4.2,F
2011,Canada,Double,Heating oil,Proportion of total energy (percent),v101904434,1.2.4.3,F
2013,Canada,Double,Heating oil,Proportion of total energy (percent),v101904434,1.2.4.3,2.5
2015,Canada,Double,Heating oil,Proportion of total energy (percent),v101904434,1.2.4.3,F
2011,Canada,Double,Heating oil,Number of households,v101904435,1.2.4.4,F
2013,Canada,Double,Heating oil,Number of households,v101904435,1.2.4.4,19190
2015,Canada,Double,Heating oil,Number of households,v101904435,1.2.4.4,F
2011,Canada,Row or terrace,"Total, all energy types",Gigajoules,v101904436,1.3.1.1,64640092
2013,Canada,Row or terrace,"Total, all energy types",Gigajoules,v101904436,1.3.1.1,65115054
2015,Canada,Row or terrace,"Total, all energy types",Gigajoules,v101904436,1.3.1.1,64455291
2011,Canada,Row or terrace,"Total, all energy types",Gigajoules per household,v101904437,1.3.1.2,80.7
2013,Canada,Row or terrace,"Total, all energy types",Gigajoules per household,v101904437,1.3.1.2,82.9
2015,Canada,Row or terrace,"Total, all energy types",Gigajoules per household,v101904437,1.3.1.2,80.8
2011,Canada,Row or terrace,"Total, all energy types",Number of households,v101904438,1.3.1.4,801255
2013,Canada,Row or terrace,"Total, all energy types",Number of households,v101904438,1.3.1.4,785738
2015,Canada,Row or terrace,"Total, all energy types",Number of households,v101904438,1.3.1.4,797646
2011,Canada,Row or terrace,Electricity,Gigajoules,v101904439,1.3.2.1,25373500
2013,Canada,Row or terrace,Electricity,Gigajoules,v101904439,1.3.2.1,27578722
2015,Canada,Row or terrace,Electricity,Gigajoules,v101904439,1.3.2.1,26325653
2011,Canada,Row or terrace,Electricity,Gigajoules per household,v101904440,1.3.2.2,31.7
2013,Canada,Row or terrace,Electricity,Gigajoules per household,v101904440,1.3.2.2,35.1
2015,Canada,Row or terrace,Electricity,Gigajoules per household,v101904440,1.3.2.2,33
2011,Canada,Row or terrace,Electricity,Proportion of total energy (percent),v101904441,1.3.2.3,39.3
2013,Canada,Row or terrace,Electricity,Proportion of total energy (percent),v101904441,1.3.2.3,42.4
2015,Canada,Row or terrace,Electricity,Proportion of total energy (percent),v101904441,1.3.2.3,40.8
2011,Canada,Row or terrace,Electricity,Number of households,v101904442,1.3.2.4,801255
2013,Canada,Row or terrace,Electricity,Number of households,v101904442,1.3.2.4,785738
2015,Canada,Row or terrace,Electricity,Number of households,v101904442,1.3.2.4,797646
2011,Canada,Row or terrace,Natural gas,Gigajoules,v101904443,1.3.3.1,38751815
2013,Canada,Row or terrace,Natural gas,Gigajoules,v101904443,1.3.3.1,36485447
2015,Canada,Row or terrace,Natural gas,Gigajoules,v101904443,1.3.3.1,37636903
2011,Canada,Row or terrace,Natural gas,Gigajoules per household,v101904444,1.3.3.2,69.8
2013,Canada,Row or terrace,Natural gas,Gigajoules per household,v101904444,1.3.3.2,63.1
2015,Canada,Row or terrace,Natural gas,Gigajoules per household,v101904444,1.3.3.2,67.3
2011,Canada,Row or terrace,Natural gas,Proportion of total energy (percent),v101904445,1.3.3.3,60
2013,Canada,Row or terrace,Natural gas,Proportion of total energy (percent),v101904445,1.3.3.3,56
2015,Canada,Row or terrace,Natural gas,Proportion of total energy (percent),v101904445,1.3.3.3,58.4
2011,Canada,Row or terrace,Natural gas,Number of households,v101904446,1.3.3.4,555292
2013,Canada,Row or terrace,Natural gas,Number of households,v101904446,1.3.3.4,578496
2015,Canada,Row or terrace,Natural gas,Number of households,v101904446,1.3.3.4,559433
2011,Canada,Row or terrace,Heating oil,Gigajoules,v101904447,1.3.4.1,F
2013,Canada,Row or terrace,Heating oil,Gigajoules,v101904447,1.3.4.1,F
2015,Canada,Row or terrace,Heating oil,Gigajoules,v101904447,1.3.4.1,F
2011,Canada,Row or terrace,Heating oil,Gigajoules per household,v101904448,1.3.4.2,F
2013,Canada,Row or terrace,Heating oil,Gigajoules per household,v101904448,1.3.4.2,F
2015,Canada,Row or terrace,Heating oil,Gigajoules per household,v101904448,1.3.4.2,F
2011,Canada,Row or terrace,Heating oil,Proportion of total energy (percent),v101904449,1.3.4.3,F
2013,Canada,Row or terrace,Heating oil,Proportion of total energy (percent),v101904449,1.3.4.3,F
2015,Canada,Row or terrace,Heating oil,Proportion of total energy (percent),v101904449,1.3.4.3,F
2011,Canada,Row or terrace,Heating oil,Number of households,v101904450,1.3.4.4,F
2013,Canada,Row or terrace,Heating oil,Number of households,v101904450,1.3.4.4,F
2015,Canada,Row or terrace,Heating oil,Number of households,v101904450,1.3.4.4,F
2011,Canada,Duplex,"Total, all energy types",Gigajoules,v101904451,1.4.1.1,36935169
2013,Canada,Duplex,"Total, all energy types",Gigajoules,v101904451,1.4.1.1,67501070
2015,Canada,Duplex,"Total, all energy types",Gigajoules,v101904451,1.4.1.1,44807930
2011,Canada,Duplex,"Total, all energy types",Gigajoules per household,v101904452,1.4.1.2,74.9
2013,Canada,Duplex,"Total, all energy types",Gigajoules per household,v101904452,1.4.1.2,96.2
2015,Canada,Duplex,"Total, all energy types",Gigajoules per household,v101904452,1.4.1.2,86.5
2011,Canada,Duplex,"Total, all energy types",Number of households,v101904453,1.4.1.4,493224
2013,Canada,Duplex,"Total, all energy types",Number of households,v101904453,1.4.1.4,701589
2015,Canada,Duplex,"Total, all energy types",Number of households,v101904453,1.4.1.4,518223
2011,Canada,Duplex,Electricity,Gigajoules,v101904454,1.4.2.1,22761972
2013,Canada,Duplex,Electricity,Gigajoules,v101904454,1.4.2.1,30319271
2015,Canada,Duplex,Electricity,Gigajoules,v101904454,1.4.2.1,22474065
2011,Canada,Duplex,Electricity,Gigajoules per household,v101904455,1.4.2.2,46.1
2013,Canada,Duplex,Electricity,Gigajoules per household,v101904455,1.4.2.2,43.2
2015,Canada,Duplex,Electricity,Gigajoules per household,v101904455,1.4.2.2,43.4
2011,Canada,Duplex,Electricity,Proportion of total energy (percent),v101904456,1.4.2.3,61.6
2013,Canada,Duplex,Electricity,Proportion of total energy (percent),v101904456,1.4.2.3,44.9
2015,Canada,Duplex,Electricity,Proportion of total energy (percent),v101904456,1.4.2.3,50.2
2011,Canada,Duplex,Electricity,Number of households,v101904457,1.4.2.4,493224
2013,Canada,Duplex,Electricity,Number of households,v101904457,1.4.2.4,701589
2015,Canada,Duplex,Electricity,Number of households,v101904457,1.4.2.4,518223
2011,Canada,Duplex,Natural gas,Gigajoules,v101904458,1.4.3.1,11704560
2013,Canada,Duplex,Natural gas,Gigajoules,v101904458,1.4.3.1,35764412
2015,Canada,Duplex,Natural gas,Gigajoules,v101904458,1.4.3.1,20475292
2011,Canada,Duplex,Natural gas,Gigajoules per household,v101904459,1.4.3.2,71.7
2013,Canada,Duplex,Natural gas,Gigajoules per household,v101904459,1.4.3.2,100.9
2015,Canada,Duplex,Natural gas,Gigajoules per household,v101904459,1.4.3.2,73.3
2011,Canada,Duplex,Natural gas,Proportion of total energy (percent),v101904460,1.4.3.3,31.7
2013,Canada,Duplex,Natural gas,Proportion of total energy (percent),v101904460,1.4.3.3,53
2015,Canada,Duplex,Natural gas,Proportion of total energy (percent),v101904460,1.4.3.3,45.7
2011,Canada,Duplex,Natural gas,Number of households,v101904461,1.4.3.4,163200
2013,Canada,Duplex,Natural gas,Number of households,v101904461,1.4.3.4,354347
2015,Canada,Duplex,Natural gas,Number of households,v101904461,1.4.3.4,279410
2011,Canada,Duplex,Heating oil,Gigajoules,v101904462,1.4.4.1,2468637
2013,Canada,Duplex,Heating oil,Gigajoules,v101904462,1.4.4.1,1417387
2015,Canada,Duplex,Heating oil,Gigajoules,v101904462,1.4.4.1,1858572
2011,Canada,Duplex,Heating oil,Gigajoules per household,v101904463,1.4.4.2,51.3
2013,Canada,Duplex,Heating oil,Gigajoules per household,v101904463,1.4.4.2,47.2
2015,Canada,Duplex,Heating oil,Gigajoules per household,v101904463,1.4.4.2,58
2011,Canada,Duplex,Heating oil,Proportion of total energy (percent),v101904464,1.4.4.3,6.7
2013,Canada,Duplex,Heating oil,Proportion of total energy (percent),v101904464,1.4.4.3,2.1
2015,Canada,Duplex,Heating oil,Proportion of total energy (percent),v101904464,1.4.4.3,4.1
2011,Canada,Duplex,Heating oil,Number of households,v101904465,1.4.4.4,48090
2013,Canada,Duplex,Heating oil,Number of households,v101904465,1.4.4.4,30007
2015,Canada,Duplex,Heating oil,Number of households,v101904465,1.4.4.4,F
2011,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Gigajoules,v101904466,1.5.1.1,78653107
2013,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Gigajoules,v101904466,1.5.1.1,97353476
2015,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Gigajoules,v101904466,1.5.1.1,96194901
2011,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Gigajoules per household,v101904467,1.5.1.2,38.2
2013,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Gigajoules per household,v101904467,1.5.1.2,53.4
2015,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Gigajoules per household,v101904467,1.5.1.2,47.1
2011,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Number of households,v101904468,1.5.1.4,2059493
2013,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Number of households,v101904468,1.5.1.4,1822850
2015,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Number of households,v101904468,1.5.1.4,2042031
2011,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules,v101904469,1.5.2.1,54710742
2013,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules,v101904469,1.5.2.1,60621920
2015,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules,v101904469,1.5.2.1,58944196
2011,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules per household,v101904470,1.5.2.2,26.6
2013,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules per household,v101904470,1.5.2.2,33.3
2015,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules per household,v101904470,1.5.2.2,28.9
2011,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Proportion of total energy (percent),v101904471,1.5.2.3,69.6
2013,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Proportion of total energy (percent),v101904471,1.5.2.3,62.3
2015,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Proportion of total energy (percent),v101904471,1.5.2.3,61.3
2011,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Number of households,v101904472,1.5.2.4,2059493
2013,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Number of households,v101904472,1.5.2.4,1822850
2015,Canada,Low-rise apartment (fewer than 5 stories),Electricity,Number of households,v101904472,1.5.2.4,2042031
2011,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules,v101904473,1.5.3.1,19323026
2013,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules,v101904473,1.5.3.1,31911597
2015,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules,v101904473,1.5.3.1,34570581
2011,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules per household,v101904474,1.5.3.2,42.8
2013,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules per household,v101904474,1.5.3.2,66.8
2015,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules per household,v101904474,1.5.3.2,71.6
2011,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Proportion of total energy (percent),v101904475,1.5.3.3,24.6
2013,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Proportion of total energy (percent),v101904475,1.5.3.3,32.8
2015,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Proportion of total energy (percent),v101904475,1.5.3.3,35.9
2011,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Number of households,v101904476,1.5.3.4,451369
2013,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Number of households,v101904476,1.5.3.4,478049
2015,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,Number of households,v101904476,1.5.3.4,482765
2011,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules,v101904477,1.5.4.1,4619339
2013,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules,v101904477,1.5.4.1,F
2015,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules,v101904477,1.5.4.1,2680124
2011,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules per household,v101904478,1.5.4.2,64.3
2013,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules per household,v101904478,1.5.4.2,77
2015,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules per household,v101904478,1.5.4.2,55.4
2011,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Proportion of total energy (percent),v101904479,1.5.4.3,5.9
2013,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Proportion of total energy (percent),v101904479,1.5.4.3,F
2015,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Proportion of total energy (percent),v101904479,1.5.4.3,2.8
2011,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Number of households,v101904480,1.5.4.4,71798
2013,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Number of households,v101904480,1.5.4.4,62590
2015,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,Number of households,v101904480,1.5.4.4,48354
2011,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules,v101904481,1.6.1.1,45471160
2013,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules,v101904481,1.6.1.1,54740013
2015,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules,v101904481,1.6.1.1,44967901
2011,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules per household,v101904482,1.6.1.2,44.2
2013,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules per household,v101904482,1.6.1.2,42.9
2015,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules per household,v101904482,1.6.1.2,37.1
2011,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Number of households,v101904483,1.6.1.4,1029120
2013,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Number of households,v101904483,1.6.1.4,1275322
2015,Canada,High-rise apartment (5 stories or more),"Total, all energy types",Number of households,v101904483,1.6.1.4,1210494
2011,Canada,High-rise apartment (5 stories or more),Electricity,Gigajoules,v101904484,1.6.2.1,26089191
2013,Canada,High-rise apartment (5 stories or more),Electricity,Gigajoules,v101904484,1.6.2.1,31814637
2015,Canada,High-rise apartment (5 stories or more),Electricity,Gigajoules,v101904484,1.6.2.1,28807484
2011,Canada,High-rise apartment (5 stories or more),Electricity,Gigajoules per household,v101904485,1.6.2.2,25.4
2013,Canada,High-rise apartment (5 stories or more),Electricity,Gigajoules per household,v101904485,1.6.2.2,24.9
2015,Canada,High-rise apartment (5 stories or more),Electricity,Gigajoules per household,v101904485,1.6.2.2,23.8
2011,Canada,High-rise apartment (5 stories or more),Electricity,Proportion of total energy (percent),v101904486,1.6.2.3,57.4
2013,Canada,High-rise apartment (5 stories or more),Electricity,Proportion of total energy (percent),v101904486,1.6.2.3,58.1
2015,Canada,High-rise apartment (5 stories or more),Electricity,Proportion of total energy (percent),v101904486,1.6.2.3,64.1
2011,Canada,High-rise apartment (5 stories or more),Electricity,Number of households,v101904487,1.6.2.4,1029120
2013,Canada,High-rise apartment (5 stories or more),Electricity,Number of households,v101904487,1.6.2.4,1275322
2015,Canada,High-rise apartment (5 stories or more),Electricity,Number of households,v101904487,1.6.2.4,1210494
2011,Canada,High-rise apartment (5 stories or more),Natural gas,Gigajoules,v101904488,1.6.3.1,19073648
2013,Canada,High-rise apartment (5 stories or more),Natural gas,Gigajoules,v101904488,1.6.3.1,22448195
2015,Canada,High-rise apartment (5 stories or more),Natural gas,Gigajoules,v101904488,1.6.3.1,15858020
2011,Canada,High-rise apartment (5 stories or more),Natural gas,Gigajoules per household,v101904489,1.6.3.2,69.1
2013,Canada,High-rise apartment (5 stories or more),Natural gas,Gigajoules per household,v101904489,1.6.3.2,77.4
2015,Canada,High-rise apartment (5 stories or more),Natural gas,Gigajoules per household,v101904489,1.6.3.2,72.8
2011,Canada,High-rise apartment (5 stories or more),Natural gas,Proportion of total energy (percent),v101904490,1.6.3.3,41.9
2013,Canada,High-rise apartment (5 stories or more),Natural gas,Proportion of total energy (percent),v101904490,1.6.3.3,41
2015,Canada,High-rise apartment (5 stories or more),Natural gas,Proportion of total energy (percent),v101904490,1.6.3.3,35.3
2011,Canada,High-rise apartment (5 stories or more),Natural gas,Number of households,v101904491,1.6.3.4,275882
2013,Canada,High-rise apartment (5 stories or more),Natural gas,Number of households,v101904491,1.6.3.4,290084
2015,Canada,High-rise apartment (5 stories or more),Natural gas,Number of households,v101904491,1.6.3.4,217751
2011,Canada,High-rise apartment (5 stories or more),Heating oil,Gigajoules,v101904492,1.6.4.1,F
2013,Canada,High-rise apartment (5 stories or more),Heating oil,Gigajoules,v101904492,1.6.4.1,F
2015,Canada,High-rise apartment (5 stories or more),Heating oil,Gigajoules,v101904492,1.6.4.1,F
2011,Canada,High-rise apartment (5 stories or more),Heating oil,Gigajoules per household,v101904493,1.6.4.2,F
2013,Canada,High-rise apartment (5 stories or more),Heating oil,Gigajoules per household,v101904493,1.6.4.2,F
2015,Canada,High-rise apartment (5 stories or more),Heating oil,Gigajoules per household,v101904493,1.6.4.2,F
2011,Canada,High-rise apartment (5 stories or more),Heating oil,Proportion of total energy (percent),v101904494,1.6.4.3,F
2013,Canada,High-rise apartment (5 stories or more),Heating oil,Proportion of total energy (percent),v101904494,1.6.4.3,F
2015,Canada,High-rise apartment (5 stories or more),Heating oil,Proportion of total energy (percent),v101904494,1.6.4.3,F
2011,Canada,High-rise apartment (5 stories or more),Heating oil,Number of households,v101904495,1.6.4.4,F
2013,Canada,High-rise apartment (5 stories or more),Heating oil,Number of households,v101904495,1.6.4.4,F
2015,Canada,High-rise apartment (5 stories or more),Heating oil,Number of households,v101904495,1.6.4.4,F
2011,Canada,Mobile home,"Total, all energy types",Gigajoules,v101904496,1.7.1.1,13889109
2013,Canada,Mobile home,"Total, all energy types",Gigajoules,v101904496,1.7.1.1,10996267
2015,Canada,Mobile home,"Total, all energy types",Gigajoules,v101904496,1.7.1.1,9661935
2011,Canada,Mobile home,"Total, all energy types",Gigajoules per household,v101904497,1.7.1.2,94.3
2013,Canada,Mobile home,"Total, all energy types",Gigajoules per household,v101904497,1.7.1.2,74.6
2015,Canada,Mobile home,"Total, all energy types",Gigajoules per household,v101904497,1.7.1.2,79.8
2011,Canada,Mobile home,"Total, all energy types",Number of households,v101904498,1.7.1.4,147329
2013,Canada,Mobile home,"Total, all energy types",Number of households,v101904498,1.7.1.4,147360
2015,Canada,Mobile home,"Total, all energy types",Number of households,v101904498,1.7.1.4,121126
2011,Canada,Mobile home,Electricity,Gigajoules,v101904499,1.7.2.1,4973207
2013,Canada,Mobile home,Electricity,Gigajoules,v101904499,1.7.2.1,6504166
2015,Canada,Mobile home,Electricity,Gigajoules,v101904499,1.7.2.1,4148510
2011,Canada,Mobile home,Electricity,Gigajoules per household,v101904500,1.7.2.2,33.8
2013,Canada,Mobile home,Electricity,Gigajoules per household,v101904500,1.7.2.2,44.1
2015,Canada,Mobile home,Electricity,Gigajoules per household,v101904500,1.7.2.2,34.2
2011,Canada,Mobile home,Electricity,Proportion of total energy (percent),v101904501,1.7.2.3,35.8
2013,Canada,Mobile home,Electricity,Proportion of total energy (percent),v101904501,1.7.2.3,59.1
2015,Canada,Mobile home,Electricity,Proportion of total energy (percent),v101904501,1.7.2.3,42.9
2011,Canada,Mobile home,Electricity,Number of households,v101904502,1.7.2.4,147329
2013,Canada,Mobile home,Electricity,Number of households,v101904502,1.7.2.4,147360
2015,Canada,Mobile home,Electricity,Number of households,v101904502,1.7.2.4,121126
2011,Canada,Mobile home,Natural gas,Gigajoules,v101904503,1.7.3.1,7946140
2013,Canada,Mobile home,Natural gas,Gigajoules,v101904503,1.7.3.1,3705934
2015,Canada,Mobile home,Natural gas,Gigajoules,v101904503,1.7.3.1,5015047
2011,Canada,Mobile home,Natural gas,Gigajoules per household,v101904504,1.7.3.2,83.5
2013,Canada,Mobile home,Natural gas,Gigajoules per household,v101904504,1.7.3.2,74.6
2015,Canada,Mobile home,Natural gas,Gigajoules per household,v101904504,1.7.3.2,82.8
